Alt,Direction,Endpoint,INPacketCountArgument,NominalBytesPerInterval,TotalLength,Category,FailedAt,DeviceSpeed,Win32Error,UsbdStatus,BytesTransferred,Result
1,OUT,0x03,N/A,9,9,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,4,4,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,10,10,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
1,OUT,0x03,N/A,9,18,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,4,8,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,10,20,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
1,OUT,0x03,N/A,9,36,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,4,16,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,10,40,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
1,OUT,0x03,N/A,9,72,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,4,32,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,10,80,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
1,OUT,0x03,N/A,9,90,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,4,40,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,10,100,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
1,OUT,0x03,N/A,9,144,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,4,64,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,10,160,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
